,ISO_A3,year,cluster,0,1,2,3,4,5,6,7,8,9,10,11,12
30,BEL,2023,2.0,0.075853154,0.073629916,0.03931712,0.096872784,0.07620205,0.07354521,0.056234866,0.0785657,0.10779408,0.057612095,0.12391811,0.048144203,0.09231072
31,BIH,2018,2.0,0.042178575,0.09213098,0.04259587,0.14402848,0.079235636,0.078684606,0.047670726,0.04638418,0.14388081,0.06539074,0.0414181,0.06446905,0.11193225
32,BIH,2019,2.0,0.06337189,0.11774082,0.039030474,0.121638544,0.063530155,0.0834693,0.054583047,0.047034398,0.13396683,0.076309055,0.045195024,0.045218356,0.108912095
33,BIH,2020,2.0,0.055366814,0.07325554,0.038340103,0.124644406,0.07694935,0.050661433,0.074709855,0.056638423,0.11504216,0.07799596,0.06902442,0.049347583,0.13802396
34,BIH,2021,2.0,0.07635642,0.10119676,0.04257781,0.13660784,0.05384996,0.06746957,0.053215995,0.05414373,0.09439841,0.060665585,0.06794914,0.04811911,0.1434497
35,BIH,2022,2.0,0.09117171,0.07233279,0.05448527,0.091030836,0.063239455,0.07249327,0.06900911,0.06900997,0.10960111,0.06385092,0.102572195,0.05483897,0.0863644
36,BIH,2023,2.0,0.08382598,0.09367959,0.0710109,0.09760983,0.050503887,0.060135737,0.09059357,0.0635978,0.09796082,0.055400655,0.09028333,0.05024921,0.09514866
37,BRN,2018,2.0,0.060556453,0.041948926,0.10212921,0.04605208,0.14206688,0.1244428,0.064042866,0.05860172,0.086047955,0.07664178,0.02237733,0.11544435,0.05964765
38,BRN,2019,2.0,0.04888508,0.06270724,0.032111317,0.12585276,0.1776346,0.06463056,0.052456114,0.091572426,0.108021475,0.098439574,0.043539155,0.054726716,0.03942299
39,BRN,2020,2.0,0.041840494,0.03690728,0.04821626,0.06396309,0.15601978,0.07126369,0.049559608,0.09086787,0.14225246,0.09277321,0.049336933,0.045212306,0.111787006
40,BRN,2021,2.0,0.06499159,0.052950248,0.021155158,0.17465538,0.06465033,0.047500227,0.06951842,0.1178999,0.07069443,0.06647829,0.048211984,0.049941912,0.15135212
41,BRN,2022,2.0,0.12581556,0.033214573,0.07562578,0.07157846,0.059842527,0.06691143,0.075819425,0.10983719,0.07880661,0.06334108,0.11074419,0.072681926,0.055781253
42,BRN,2023,2.0,0.090512626,0.043406427,0.13699317,0.015653571,0.028878292,0.19548137,0.015653525,0.071208715,0.015653543,0.10426748,0.17260459,0.015653547,0.09403315
43,CAN,2015,2.0,0.041208073,0.021464195,0.07146357,0.25145358,0.120994546,0.062238485,0.041769378,0.03893751,0.054301143,0.1413741,0.03876041,0.021464188,0.09457083
44,CAN,2016,2.0,0.05126814,0.059484966,0.048005387,0.054032642,0.18627563,0.0983907,0.09779233,0.08987574,0.08438331,0.038368396,0.083741374,0.039652,0.06872939
45,CAN,2017,2.0,0.050962567,0.05722026,0.044896096,0.055336323,0.14450558,0.09072715,0.0886268,0.112294026,0.092257164,0.082700446,0.07792937,0.040525757,0.062018458
46,CAN,2018,2.0,0.050223865,0.07615715,0.03927996,0.11370893,0.11203367,0.0748609,0.0631457,0.07417267,0.13177015,0.07543572,0.056067314,0.04103703,0.09210694
47,CAN,2019,2.0,0.051799726,0.0757831,0.040511236,0.1232277,0.10410297,0.077675626,0.064873785,0.07804147,0.1294083,0.063661896,0.052472163,0.04472389,0.09371813
48,CAN,2020,2.0,0.047979392,0.071256846,0.03767375,0.13298106,0.10244702,0.081581615,0.06677652,0.076773115,0.11147748,0.071863264,0.053603265,0.04344924,0.102137424
49,CAN,2021,2.0,0.059686184,0.06253515,0.06712325,0.11636532,0.06557882,0.057699826,0.055616807,0.08509604,0.09432771,0.059802268,0.11549228,0.05309484,0.10758152
50,CAN,2022,2.0,0.06828192,0.053972255,0.080931954,0.09790401,0.057101917,0.057075515,0.045194577,0.070005685,0.07088085,0.05354847,0.22398166,0.050333217,0.070787966
51,CAN,2023,2.0,0.07390974,0.06421752,0.10985411,0.11996172,0.060174663,0.0694974,0.06076347,0.06925372,0.07921204,0.056011546,0.09257677,0.06014496,0.084422335
52,CHE,2015,2.0,0.0054983874,0.005498316,0.0054982495,0.38068876,0.0054982556,0.0054982784,0.005498297,0.005498347,0.005498298,0.005498275,0.005498237,0.005498287,0.5588301
53,CHE,2016,2.0,0.09235767,0.020459354,0.020459305,0.020459196,0.20249589,0.29923972,0.020459669,0.020459289,0.13952155,0.020459449,0.020459356,0.073868774,0.049300745
54,CHE,2017,2.0,0.020558082,0.020558026,0.06352549,0.04791516,0.12530474,0.118205145,0.06087269,0.100617595,0.12855063,0.13057278,0.10658832,0.044921357,0.031809963
55,CHE,2018,2.0,0.04985474,0.11976542,0.03933921,0.09521039,0.07833024,0.097445086,0.059999622,0.046641774,0.175354,0.049421933,0.043733727,0.041253608,0.103650264
56,CHE,2019,2.0,0.05208393,0.09795218,0.037025042,0.13276504,0.0798178,0.08676687,0.058087554,0.04237116,0.17137845,0.056029357,0.04242722,0.037035912,0.106259465
57,CHE,2020,2.0,0.05914962,0.0871782,0.035006076,0.12809959,0.088225484,0.09291975,0.06350726,0.046937894,0.15150201,0.048700094,0.04352098,0.04428397,0.11096905
58,CHE,2021,2.0,0.065023646,0.07245573,0.042054337,0.11679893,0.06731482,0.076301016,0.051311743,0.06955127,0.09163886,0.06364083,0.10715786,0.07372777,0.10302317
59,CHE,2022,2.0,0.07658811,0.06569776,0.043321904,0.09476917,0.061659016,0.08703586,0.06019452,0.07138517,0.088323876,0.06605544,0.11237555,0.08346478,0.08912885
60,CHE,2023,2.0,0.06513349,0.10545656,0.041808914,0.09668128,0.05338891,0.08076101,0.06950792,0.05926604,0.10873138,0.06358783,0.0842906,0.04302919,0.12835687
61,CHL,2015,2.0,0.009678539,0.13572776,0.009678514,0.009678547,0.14007744,0.37178773,0.009678529,0.009678518,0.0096785445,0.009678517,0.13661996,0.009678539,0.13835889
62,CHL,2018,2.0,0.046114177,0.12659979,0.03783922,0.10154199,0.11737614,0.06568654,0.05646751,0.061545882,0.121407524,0.059689645,0.05775981,0.04711939,0.1008524
63,CHL,2019,2.0,0.05070567,0.064540066,0.04300029,0.108403526,0.15297088,0.07854518,0.06538472,0.05715028,0.09393398,0.06732628,0.057350397,0.051693257,0.108995475
64,CHL,2020,2.0,0.040094253,0.08614534,0.050732445,0.113341436,0.10196501,0.06986755,0.057447802,0.070742674,0.10777798,0.06654346,0.058884975,0.05201643,0.12444064
65,CHL,2021,2.0,0.089087956,0.079131655,0.05489533,0.114443265,0.066878736,0.07227852,0.04577034,0.08182741,0.065306075,0.06584475,0.089659646,0.062211107,0.112665206
66,CHL,2022,2.0,0.07423492,0.049752273,0.046077333,0.08921957,0.0686094,0.068644434,0.049588256,0.06989722,0.06916194,0.055470876,0.1756123,0.09464856,0.08908289
67,CHL,2023,2.0,0.027722288,0.18191957,0.012404507,0.053304583,0.030030616,0.023556255,0.023380164,0.030286863,0.24880877,0.112971544,0.15321921,0.036032215,0.06636342
68,CHN,2015,2.0,0.038462244,0.038462117,0.03846214,0.038462125,0.03846212,0.03846215,0.03846212,0.038462266,0.038462132,0.038462117,0.5384542,0.0384622,0.03846212
69,CHN,2016,2.0,0.012423637,0.012423742,0.012423642,0.06796221,0.46431503,0.21023762,0.08768388,0.012423608,0.045625586,0.012423617,0.012423668,0.03721015,0.012423602
70,CHN,2017,2.0,0.013133205,0.11131578,0.075756736,0.013133287,0.51600146,0.17872734,0.013133152,0.013133152,0.013133164,0.013133247,0.013133147,0.01313313,0.013133212
71,CHN,2018,2.0,0.049903695,0.11632906,0.033784244,0.117867455,0.12619004,0.07723882,0.04850456,0.04153648,0.16237016,0.04828585,0.035663586,0.03949649,0.102829576
72,CHN,2019,2.0,0.044953357,0.103847146,0.035119314,0.12291415,0.12474664,0.07455547,0.056196257,0.043339983,0.15790986,0.05570191,0.04279723,0.036684778,0.101233914
73,CHN,2020,2.0,0.062699825,0.0999032,0.03346338,0.11594484,0.10494211,0.07648868,0.05436319,0.045527097,0.12145168,0.075722635,0.048592083,0.03765304,0.12324824
74,CHN,2021,2.0,0.08462315,0.12546985,0.04919565,0.10188852,0.05636835,0.07913162,0.07153853,0.053995892,0.09461469,0.06665723,0.06998645,0.04452826,0.10200179
75,CHN,2022,2.0,0.09351199,0.122805245,0.047896523,0.096658096,0.060031667,0.067657836,0.05288957,0.056024574,0.09722417,0.06360135,0.09658425,0.050684974,0.094429746
