,ISO_A3,year,cluster,0,1,2,3,4,5
65,GEO,2018,0.0,0.33082232,0.06349735,0.07079165,0.32227248,0.10722589,0.10539031
66,GEO,2019,0.0,0.40579084,0.05680528,0.11187818,0.23265424,0.07811485,0.11475663
67,GEO,2020,0.0,0.31801856,0.06326712,0.18493044,0.32462314,0.051014286,0.058146488
68,GEO,2021,0.0,0.18247129,0.059629798,0.094738595,0.2623729,0.26081374,0.13997364
69,GEO,2022,0.0,0.20327608,0.076710194,0.10139859,0.20158817,0.2039415,0.21308549
70,GEO,2023,0.0,0.24700092,0.06641603,0.121983774,0.1974385,0.17907807,0.1880827
71,IDN,2015,0.0,0.2517853,0.16451684,0.06715146,0.17528899,0.17347783,0.16777958
72,IDN,2016,0.0,0.2545833,0.09506191,0.08502817,0.23043494,0.17542556,0.1594661
73,IDN,2017,0.0,0.2841506,0.09361677,0.10227597,0.28132597,0.13086613,0.10776455
74,IDN,2018,0.0,0.25030494,0.07023666,0.20900166,0.23868106,0.09231782,0.13945785
75,IDN,2019,0.0,0.24177921,0.07214539,0.18332121,0.26179662,0.11134783,0.12960975
76,IDN,2020,0.0,0.1852634,0.07610026,0.1819064,0.30452085,0.10061311,0.151596
77,IDN,2021,0.0,0.120727494,0.10055658,0.1075163,0.18886189,0.14082435,0.34151337
78,IDN,2022,0.0,0.103675544,0.109682545,0.19776587,0.14473717,0.21861506,0.22552383
79,IDN,2023,0.0,0.13049571,0.10153792,0.20134917,0.17407244,0.12976411,0.26278067
80,IND,2015,0.0,0.42536026,0.061992846,0.049416132,0.17784454,0.11579095,0.16959524
81,IND,2016,0.0,0.3885098,0.100214966,0.07850216,0.17890848,0.11791898,0.13594557
82,IND,2017,0.0,0.42634112,0.12176543,0.1189538,0.07360913,0.13213749,0.12719308
83,IND,2018,0.0,0.3633572,0.09197968,0.11853861,0.21841218,0.08298809,0.1247243
84,IND,2019,0.0,0.3626273,0.08276099,0.10234084,0.2373354,0.08620424,0.12873124
85,IND,2020,0.0,0.32531762,0.06590821,0.14123227,0.193858,0.07018799,0.2034959
86,IND,2021,0.0,0.19260105,0.094692275,0.13637625,0.22866414,0.1356237,0.21204259
87,IND,2022,0.0,0.17099424,0.19107379,0.116497226,0.17976475,0.18398571,0.15768428
88,IND,2023,0.0,0.22623746,0.09041039,0.13756803,0.2578374,0.12439004,0.16355667
89,KHM,2016,0.0,0.51247454,0.027931085,0.02801945,0.3750497,0.028328497,0.028196763
90,KHM,2018,0.0,0.3107907,0.18240404,0.1301062,0.1771463,0.06954494,0.13000785
91,KHM,2019,0.0,0.28732494,0.0907792,0.09844607,0.2561659,0.1733234,0.09396053
92,KHM,2020,0.0,0.2625875,0.084162176,0.11950976,0.29130492,0.068071395,0.17436425
93,KHM,2021,0.0,0.44467595,0.037597448,0.061623022,0.10965427,0.23073897,0.115710355
94,KHM,2022,0.0,0.4554686,0.055857606,0.0820878,0.08518968,0.20452815,0.11686817
95,KHM,2023,0.0,0.4947962,0.11437597,0.071067594,0.15325567,0.06540177,0.1011028
96,LAO,2018,0.0,0.23686914,0.06554137,0.27001065,0.20163722,0.060655277,0.16528635
97,LAO,2019,0.0,0.19301188,0.057785798,0.1290202,0.2128379,0.06488813,0.3424561
98,LAO,2020,0.0,0.2904143,0.061539084,0.20090872,0.25561795,0.114823855,0.07669608
99,LAO,2021,0.0,0.19762848,0.05873459,0.23333803,0.25508082,0.063579105,0.19163896
100,LAO,2022,0.0,0.17502151,0.089588165,0.22264692,0.17131312,0.23251367,0.10891661
101,LAO,2023,0.0,0.24023956,0.10269365,0.17932476,0.21552467,0.05302787,0.20918947
102,LKA,2016,0.0,0.8596992,0.02784831,0.027926112,0.028636161,0.027900705,0.027989537
103,LKA,2018,0.0,0.38424078,0.063338,0.14179832,0.18954737,0.07012275,0.15095279
104,LKA,2019,0.0,0.35992756,0.09216672,0.09352683,0.19439717,0.07797365,0.1820081
105,LKA,2020,0.0,0.3686139,0.05719651,0.13783686,0.22572166,0.08734961,0.12328146
106,LKA,2021,0.0,0.22819197,0.077821374,0.12394711,0.30354428,0.10516627,0.16132897
107,LKA,2022,0.0,0.21864793,0.08476406,0.113350116,0.27565664,0.12177798,0.18580326
108,LKA,2023,0.0,0.21801859,0.12187471,0.14840926,0.23987427,0.11033822,0.16148496
109,MAR,2016,0.0,0.41496575,0.055985823,0.05605616,0.19643398,0.22042352,0.056134764
110,MAR,2018,0.0,0.23777303,0.09499482,0.09821883,0.17606638,0.0787527,0.31419423
111,MAR,2019,0.0,0.312186,0.07373923,0.11535592,0.27336067,0.0833406,0.14201757
112,MAR,2020,0.0,0.29827794,0.06360383,0.19868152,0.22085196,0.094682306,0.12390245
113,MAR,2021,0.0,0.18495053,0.07412981,0.1480468,0.32036883,0.10682269,0.16568132
114,MAR,2022,0.0,0.22316581,0.07934615,0.17111789,0.24843298,0.12424843,0.15368873
115,MAR,2023,0.0,0.1888004,0.07934911,0.16521555,0.20994768,0.104643404,0.25204387
116,MDG,2018,0.0,0.5946617,0.02094987,0.020994445,0.2184911,0.123896584,0.021006295
117,MDG,2019,0.0,0.42521307,0.06691546,0.11170709,0.24577074,0.09446884,0.055924784
118,MDG,2020,0.0,0.3159647,0.07278836,0.15013666,0.22636269,0.07087252,0.16387506
119,MDG,2021,0.0,0.31101015,0.050812587,0.14498898,0.16852935,0.15426122,0.17039771
120,MDG,2022,0.0,0.263691,0.06783948,0.1378322,0.25611937,0.18244319,0.09207477
121,MDG,2023,0.0,0.20884281,0.12784307,0.36326882,0.15481499,0.0758544,0.06937592
122,MMR,2017,0.0,0.5060428,0.024015862,0.023977699,0.3979042,0.024071712,0.023987753
123,MMR,2018,0.0,0.30776384,0.08610581,0.19075331,0.1698668,0.14442265,0.101087555
124,MMR,2019,0.0,0.34107667,0.065206476,0.1346104,0.2899823,0.080989145,0.088135
125,MMR,2020,0.0,0.19447492,0.061332203,0.2979582,0.21583633,0.08735125,0.1430471
126,MMR,2021,0.0,0.10694138,0.052658193,0.11511487,0.13517141,0.17330186,0.41681227
127,MMR,2022,0.0,0.16518705,0.096089564,0.13849415,0.20923984,0.127636,0.2633534
128,MMR,2023,0.0,0.09407311,0.068381466,0.31624374,0.20756018,0.08811332,0.22562818
129,NGA,2015,0.0,0.33282855,0.08241897,0.028909368,0.44792643,0.07894977,0.028966932
130,NGA,2016,0.0,0.30196053,0.035878237,0.06976437,0.5204405,0.035758663,0.036197696
131,NGA,2017,0.0,0.1951923,0.046792742,0.10103891,0.4468977,0.058342025,0.15173632
132,NGA,2018,0.0,0.29119822,0.06424044,0.13706064,0.31574646,0.07966233,0.1120919
133,NGA,2019,0.0,0.302074,0.066576436,0.08837611,0.35072395,0.07858974,0.11365979
134,NGA,2020,0.0,0.2652748,0.06329326,0.13345541,0.36776608,0.065908805,0.10430164
135,NGA,2021,0.0,0.1815562,0.073657155,0.117428266,0.28929797,0.07521975,0.26284066
136,NGA,2022,0.0,0.18048054,0.078506276,0.19326895,0.24203922,0.114677206,0.1910278
137,NGA,2023,0.0,0.20845883,0.07266289,0.19762832,0.25667673,0.07648911,0.1880841
138,PAK,2015,0.0,0.36322653,0.035520803,0.035721347,0.23316109,0.29702112,0.035349116
139,PAK,2018,0.0,0.35992405,0.07382721,0.14950718,0.24654372,0.07212084,0.098076984
140,PAK,2019,0.0,0.35223362,0.082596354,0.09284126,0.2690295,0.078437254,0.124862015
141,PAK,2020,0.0,0.30104306,0.08429693,0.08089533,0.3119762,0.06546606,0.15632242
142,PAK,2021,0.0,0.17084911,0.09987256,0.11221916,0.25177178,0.24470955,0.120577835
143,PAK,2022,0.0,0.17847528,0.07698083,0.17630519,0.28527388,0.14466015,0.13830467
144,PAK,2023,0.0,0.18331705,0.08119509,0.25168008,0.2223499,0.10017393,0.16128394
145,PHL,2015,0.0,0.27529407,0.08936321,0.089186236,0.24321347,0.18470381,0.11823921
146,PHL,2016,0.0,0.36954,0.07092709,0.08586043,0.16810234,0.16174422,0.14382592
147,PHL,2017,0.0,0.25934568,0.10920499,0.111749195,0.30464327,0.11347435,0.101582505
148,PHL,2018,0.0,0.326956,0.07959865,0.12442509,0.24785039,0.1033248,0.117845066
149,PHL,2019,0.0,0.2751675,0.08487565,0.10587633,0.25396898,0.10345867,0.17665288
150,PHL,2020,0.0,0.26163122,0.08996232,0.115088865,0.2613306,0.10347853,0.16850846
151,PHL,2021,0.0,0.18493862,0.12009946,0.11787266,0.21016982,0.09812945,0.26878998
152,PHL,2022,0.0,0.1637546,0.082403205,0.15699519,0.20264685,0.13040075,0.2637994
153,PHL,2023,0.0,0.22160432,0.102000356,0.13791166,0.23441142,0.11194259,0.19212964
154,ROU,2015,0.0,0.041906975,0.334895,0.04186055,0.041775163,0.4978653,0.041696977
155,ROU,2016,0.0,0.5708418,0.07873707,0.07886582,0.11404887,0.07876681,0.078739636
156,ROU,2018,0.0,0.29952392,0.077797756,0.124691784,0.28198454,0.101088986,0.11491301
157,ROU,2019,0.0,0.30465457,0.060885176,0.09790225,0.3459183,0.082461305,0.10817843
158,ROU,2020,0.0,0.24942903,0.06808254,0.20231062,0.29903328,0.08465864,0.09648588
159,ROU,2021,0.0,0.19836105,0.065396346,0.16751781,0.33024538,0.113029055,0.12545034
160,ROU,2022,0.0,0.16955982,0.07492586,0.15243807,0.20449692,0.15939131,0.23918803
161,ROU,2023,0.0,0.4099851,0.07811238,0.123032816,0.15168871,0.08843617,0.1487448
162,RWA,2017,0.0,0.27465972,0.01533516,0.01533264,0.4625799,0.015364046,0.21672848
163,RWA,2018,0.0,0.40233,0.05865046,0.08266252,0.24309841,0.10696922,0.10628939
164,RWA,2019,0.0,0.3978238,0.055105116,0.063651405,0.22739618,0.115835465,0.14018802
165,RWA,2020,0.0,0.23115003,0.09071557,0.066835746,0.19590485,0.32718143,0.08821237
166,RWA,2021,0.0,0.17761414,0.030746754,0.25792974,0.20330413,0.19248328,0.13792193
167,RWA,2022,0.0,0.2816521,0.0792631,0.14628363,0.24198605,0.14482784,0.1059873
168,RWA,2023,0.0,0.26471022,0.077144824,0.22516021,0.17444745,0.15130198,0.10723533
169,SLB,2018,0.0,0.22215633,0.04168426,0.16682383,0.10169859,0.17487127,0.29276574
170,SLB,2019,0.0,0.22851013,0.28831008,0.12470288,0.166472,0.039261643,0.15274328
171,SLB,2020,0.0,0.02859278,0.5846496,0.028492332,0.1432273,0.028462728,0.18657523
172,SLB,2022,0.0,0.12630782,0.5212848,0.027147187,0.09708388,0.14797674,0.080199584
173,SLB,2023,0.0,0.20776738,0.44222194,0.023965273,0.27817672,0.023880934,0.023987738
174,SLE,2018,0.0,0.35933137,0.084155664,0.10662755,0.14089811,0.108570196,0.20041709
175,SLE,2019,0.0,0.41033676,0.043138307,0.11505049,0.1847589,0.12854773,0.11816782
176,SLE,2020,0.0,0.4002387,0.046949618,0.059171785,0.25316212,0.14150882,0.098969
177,SLE,2021,0.0,0.06501454,0.026829002,0.030824624,0.4811215,0.3670333,0.029177003
178,SLE,2022,0.0,0.15506087,0.119114436,0.09090775,0.39207783,0.1376835,0.10515562
179,SLE,2023,0.0,0.15777218,0.10728059,0.10835782,0.38979036,0.07522805,0.161571
180,SUR,2018,0.0,0.4794525,0.029222198,0.077850655,0.16139935,0.09782432,0.154251
181,SUR,2019,0.0,0.30489966,0.067854196,0.089458674,0.32151914,0.12656778,0.08970055
182,SUR,2020,0.0,0.35205698,0.061154474,0.07470131,0.14897548,0.11946647,0.24364528
183,SUR,2021,0.0,0.24158694,0.054935396,0.13763006,0.39722207,0.10118572,0.06743979
184,SUR,2022,0.0,0.23683797,0.044856846,0.13663486,0.14398351,0.19639213,0.24129465
185,SUR,2023,0.0,0.42066658,0.04888644,0.13375594,0.29539344,0.035964925,0.06533267
186,SYR,2018,0.0,0.4083723,0.0480706,0.11508726,0.04815192,0.14656274,0.23375519
187,SYR,2019,0.0,0.27972642,0.07665664,0.051024504,0.47219905,0.06679629,0.053597063
188,SYR,2020,0.0,0.28788978,0.036073074,0.13147512,0.2811055,0.08174228,0.18171424
189,SYR,2021,0.0,0.12895223,0.0775094,0.11192187,0.16381045,0.08466387,0.4331422
190,SYR,2022,0.0,0.10414903,0.10061252,0.06534486,0.1563322,0.05412431,0.5194371
191,SYR,2023,0.0,0.22203709,0.02119022,0.46120334,0.17382427,0.03232218,0.089422904
192,TGO,2018,0.0,0.2168755,0.1231698,0.17861699,0.31332192,0.09020797,0.07780783
193,TGO,2019,0.0,0.3037799,0.07223072,0.12671484,0.23051842,0.08247089,0.18428525
194,TGO,2020,0.0,0.31489062,0.051036853,0.17549641,0.31110168,0.06901831,0.07845613
195,TGO,2021,0.0,0.099899605,0.07866571,0.28426054,0.19760372,0.12956533,0.2100051
196,TGO,2022,0.0,0.24050133,0.08443855,0.117901005,0.21924686,0.13451722,0.20339502
197,TGO,2023,0.0,0.1273747,0.15552625,0.22873335,0.24717422,0.11997237,0.121219106
198,UKR,2015,0.0,0.042436745,0.04236679,0.042414315,0.52596104,0.042196307,0.3046248
199,UKR,2016,0.0,0.030762594,0.030603146,0.3250443,0.030690659,0.5521097,0.030789543
200,UKR,2017,0.0,0.2142197,0.03734335,0.370231,0.25540417,0.08543261,0.03736919
201,UKR,2018,0.0,0.26836723,0.051974863,0.21985756,0.24872196,0.06420106,0.14687735
202,UKR,2019,0.0,0.28320596,0.06887934,0.13421763,0.23721468,0.14006574,0.13641663
203,UKR,2020,0.0,0.2446814,0.08058181,0.15285698,0.30573472,0.07925395,0.13689113
204,UKR,2021,0.0,0.16615297,0.07388635,0.119310215,0.22285536,0.23303933,0.18475577
205,UKR,2022,0.0,0.11448137,0.06789062,0.22571093,0.12376179,0.34393418,0.12422111
206,UKR,2023,0.0,0.18626222,0.06112894,0.11224727,0.15838316,0.3124641,0.16951433
207,UZB,2018,0.0,0.2970508,0.05798328,0.31049243,0.23973553,0.047383595,0.04735435
208,UZB,2019,0.0,0.31855497,0.08531777,0.088906944,0.36242554,0.05229042,0.09250438
209,UZB,2020,0.0,0.2694211,0.051645566,0.3436069,0.19625685,0.03767163,0.10139797
210,UZB,2021,0.0,0.24186927,0.07678282,0.12104362,0.22625856,0.13201953,0.20202619
211,UZB,2022,0.0,0.16004132,0.09215271,0.0676925,0.1132193,0.29637164,0.27052253
212,UZB,2023,0.0,0.15770061,0.18014494,0.12224386,0.10908038,0.11663481,0.31419542
213,VNM,2016,0.0,0.7162164,0.023921287,0.023937194,0.023906535,0.023845283,0.18817334
214,VNM,2017,0.0,0.21452539,0.032898847,0.0328698,0.6537185,0.033180818,0.032806657
215,VNM,2018,0.0,0.25736946,0.08222019,0.17983364,0.2842316,0.07307368,0.12327144
216,VNM,2019,0.0,0.25248796,0.08385625,0.16600788,0.27807125,0.09118265,0.128394
217,VNM,2020,0.0,0.2472169,0.1301784,0.22319071,0.20016979,0.06729218,0.13195202
218,VNM,2021,0.0,0.12121664,0.08486038,0.16777478,0.26040247,0.09242617,0.27331957
219,VNM,2022,0.0,0.15469141,0.08968341,0.19548802,0.18984695,0.13768873,0.2326015
220,VNM,2023,0.0,0.19008131,0.07251166,0.23907696,0.2131194,0.08078876,0.2044219
221,WSM,2018,0.0,0.38011003,0.22187032,0.039905693,0.20603631,0.03991827,0.11215938
222,WSM,2019,0.0,0.4659623,0.03375818,0.07022838,0.28583643,0.049756322,0.094458394
223,WSM,2020,0.0,0.042005897,0.042121492,0.04181485,0.37411186,0.45808485,0.041861072
