,ISO_A3,year,cluster,0,1,2,3,4,5,6,7,8,9
43,BRA,2018,1.0,0.06361828,0.114843965,0.053056814,0.10483589,0.07936243,0.05806363,0.23712778,0.0962332,0.11880968,0.07404835
44,BRA,2019,1.0,0.07983806,0.14610784,0.05928366,0.09871792,0.110686995,0.06250801,0.09212708,0.12389342,0.1414837,0.085353315
45,BRA,2020,1.0,0.073841006,0.13424748,0.054642975,0.10817516,0.14128897,0.07437486,0.07315074,0.10592024,0.16366841,0.07069017
46,BRA,2021,1.0,0.074399106,0.13034306,0.05129471,0.107649036,0.10106092,0.10609822,0.10930391,0.12678826,0.11846686,0.07459592
47,BRA,2022,1.0,0.06160201,0.119190484,0.05408515,0.082121976,0.12244543,0.07080721,0.13004263,0.14122383,0.114483096,0.10399817
48,BRA,2023,1.0,0.05965986,0.11763034,0.049961634,0.10495815,0.11670665,0.067024775,0.13916278,0.12589139,0.12802015,0.09098427
49,BWA,2018,1.0,0.05853859,0.12048836,0.06408702,0.09715472,0.111474864,0.042662878,0.12058045,0.16304305,0.17163824,0.05033184
50,BWA,2019,1.0,0.094658725,0.10911265,0.0848043,0.10949669,0.1045855,0.055998657,0.10157789,0.1258415,0.1468374,0.06708668
51,BWA,2020,1.0,0.072087854,0.12929451,0.07886288,0.10493367,0.143994,0.053204466,0.078580424,0.1333309,0.15592657,0.0497847
52,BWA,2021,1.0,0.05157755,0.16116956,0.054955773,0.08085922,0.12371692,0.070284106,0.1237644,0.10375687,0.14349146,0.08642413
53,BWA,2022,1.0,0.058994707,0.15078123,0.05227972,0.12833643,0.100979365,0.05117219,0.101359986,0.12783372,0.15634601,0.07191663
54,BWA,2023,1.0,0.09583061,0.11834181,0.075714104,0.063545145,0.19301842,0.07512458,0.088295296,0.123994395,0.14512727,0.021008378
55,CAF,2019,1.0,0.007705707,0.0077049118,0.0077046906,0.37949362,0.0077058426,0.0077052205,0.15301713,0.41355252,0.0077053355,0.0077050445
56,CAF,2021,1.0,0.014294823,0.014294698,0.014292546,0.014293408,0.014294855,0.014293168,0.44392657,0.44172364,0.014294057,0.014292213
57,CAF,2022,1.0,0.38383782,0.040663242,0.028314687,0.12739928,0.06165207,0.0883137,0.08891655,0.05885667,0.056639373,0.065406606
58,COG,2018,1.0,0.027206752,0.027208546,0.027206752,0.32297003,0.027207624,0.027208045,0.027209172,0.2649079,0.22166826,0.027206937
59,COG,2019,1.0,0.06251715,0.029527808,0.05595448,0.27380294,0.04294563,0.19089054,0.07039881,0.17493829,0.07410767,0.024916656
60,COG,2020,1.0,0.021759927,0.115076035,0.075611584,0.1321645,0.07424154,0.008652711,0.18841472,0.11324954,0.20054048,0.07028897
61,COG,2021,1.0,0.01902848,0.103690915,0.05881134,0.08704598,0.1094038,0.16250059,0.08065153,0.20387001,0.07267211,0.10232524
62,COG,2022,1.0,0.0307805,0.27237883,0.03481372,0.055499442,0.14057714,0.0371417,0.029301697,0.09740254,0.06768564,0.2344188
63,COL,2015,1.0,0.014301322,0.014300584,0.014301532,0.32119104,0.014301918,0.014300008,0.014300835,0.5643966,0.014305553,0.014300572
64,COL,2016,1.0,0.02293536,0.21037726,0.022934586,0.022934867,0.2312269,0.022934452,0.022938741,0.14727578,0.18952826,0.10691379
65,COL,2017,1.0,0.03339176,0.69945693,0.03339179,0.033392366,0.033392083,0.033392083,0.033400275,0.033392616,0.033392005,0.03339806
66,COL,2018,1.0,0.058413256,0.1033993,0.053109474,0.086129844,0.09668045,0.046878878,0.17425407,0.101625636,0.10003849,0.17947058
67,COL,2019,1.0,0.061013717,0.12561575,0.04648623,0.11099526,0.15562743,0.05914389,0.076919094,0.10932012,0.11940756,0.13547096
68,COL,2020,1.0,0.066683404,0.14260809,0.055262957,0.12454972,0.11140996,0.082629204,0.09617009,0.120097384,0.13998471,0.06060448
69,COL,2021,1.0,0.13753168,0.30278158,0.0409145,0.076729946,0.07221355,0.052943755,0.090996765,0.08747528,0.08886181,0.049551137
70,COL,2022,1.0,0.030956319,0.08719376,0.028074551,0.0582405,0.12720183,0.037091546,0.059725914,0.08056215,0.051712964,0.4392405
71,COL,2023,1.0,0.0458067,0.12029586,0.037135832,0.12236456,0.101255864,0.05869852,0.11790465,0.20194153,0.097977094,0.09661938
72,DJI,2018,1.0,0.03943375,0.12283084,0.013502262,0.26598218,0.047296897,0.110440776,0.050119177,0.2252733,0.111618795,0.013502051
73,DJI,2019,1.0,0.09881396,0.09879518,0.020224277,0.191073,0.036097106,0.029821085,0.12519339,0.121527545,0.16252674,0.115927674
74,DJI,2020,1.0,0.052481495,0.07867435,0.060067922,0.11182861,0.075576596,0.07855426,0.12790316,0.22626224,0.14868474,0.039966613
75,DJI,2021,1.0,0.02919266,0.11471701,0.06621766,0.17298725,0.11839138,0.07672095,0.082478665,0.14225717,0.10610195,0.0909353
76,DJI,2022,1.0,0.06534933,0.06929374,0.02819139,0.25152236,0.027121045,0.04822003,0.07800547,0.25303295,0.13679148,0.042472206
77,DJI,2023,1.0,0.04236617,0.033475544,0.039411385,0.12629062,0.08218001,0.023546191,0.13430075,0.16550891,0.28148407,0.07143635
78,DOM,2016,1.0,0.060013272,0.06001208,0.06001445,0.3078862,0.06001569,0.06001284,0.060014084,0.21200508,0.060013343,0.06001299
79,DOM,2017,1.0,0.026213856,0.026216097,0.026216246,0.109678365,0.026214125,0.24840279,0.026217783,0.45840594,0.026220217,0.026214562
80,DOM,2018,1.0,0.13829757,0.09325275,0.05419096,0.116793215,0.15694395,0.052752666,0.07772044,0.08820063,0.1342649,0.08758294
81,DOM,2019,1.0,0.088343926,0.17098904,0.06583945,0.086831845,0.117270805,0.0885889,0.07650852,0.089931644,0.14679515,0.06890072
82,DOM,2020,1.0,0.061129864,0.14816889,0.07044101,0.08516745,0.12249912,0.048460316,0.07808946,0.112665854,0.19076918,0.08260885
83,DOM,2021,1.0,0.064398766,0.14921756,0.05581037,0.10556078,0.09508347,0.06314771,0.12341535,0.10969127,0.15750267,0.07617206
84,DOM,2022,1.0,0.07008175,0.12770078,0.05193924,0.06846483,0.15620022,0.056286216,0.10018937,0.19600973,0.08586482,0.08726306
85,DOM,2023,1.0,0.06565729,0.13456553,0.04543112,0.07305641,0.104770675,0.05432671,0.12976566,0.15798092,0.12033723,0.11410844
86,DZA,2016,1.0,0.08964263,0.009622444,0.009621449,0.009621498,0.009621827,0.009621889,0.00962102,0.09277238,0.009622358,0.75023246
87,DZA,2018,1.0,0.016985182,0.0671538,0.016985843,0.11889211,0.016986255,0.03940381,0.076578416,0.31366315,0.23836344,0.094987966
88,DZA,2019,1.0,0.06918097,0.22841302,0.05506079,0.08873155,0.06463247,0.06662096,0.08930941,0.11256916,0.16959666,0.055885024
89,DZA,2020,1.0,0.1394729,0.1182097,0.048426498,0.11103675,0.08296809,0.11004769,0.09858297,0.11086102,0.093630046,0.08676433
90,DZA,2021,1.0,0.054547064,0.11084707,0.12332389,0.08516252,0.08681151,0.110177286,0.13312533,0.112653315,0.103842564,0.07950945
91,DZA,2022,1.0,0.058352765,0.09897128,0.06509155,0.07608021,0.09887111,0.1741914,0.11548807,0.11463068,0.09842215,0.09990078
92,DZA,2023,1.0,0.048160475,0.087508634,0.042604785,0.06443842,0.07671936,0.08522898,0.11510675,0.07817886,0.13390012,0.2681536
93,ECU,2016,1.0,0.022414472,0.022416394,0.022414982,0.022414878,0.11647402,0.022415515,0.022416227,0.5360966,0.022414893,0.19052212
94,ECU,2017,1.0,0.033356722,0.033357996,0.03335688,0.03334927,0.28329787,0.2833427,0.19987893,0.033353575,0.033355676,0.03335042
95,ECU,2018,1.0,0.12986968,0.09777433,0.114244536,0.16077188,0.10158036,0.10645859,0.033772685,0.098573804,0.10888313,0.048070997
96,ECU,2019,1.0,0.07373888,0.122634836,0.059085947,0.08164766,0.1049349,0.07135593,0.07964004,0.16790667,0.16951266,0.0695425
97,ECU,2020,1.0,0.03071442,0.38298708,0.028013242,0.12770547,0.09304013,0.03454965,0.04532529,0.10976258,0.085113645,0.06278852
98,ECU,2021,1.0,0.11361589,0.119621076,0.047825124,0.09700559,0.07617824,0.10286168,0.12977952,0.11670156,0.110893846,0.0855175
99,ECU,2022,1.0,0.07801034,0.102718405,0.09503581,0.074829996,0.10226437,0.0714388,0.15537219,0.1118127,0.1117429,0.09677449
100,ECU,2023,1.0,0.04409012,0.17392457,0.0428172,0.0788276,0.12997353,0.03352165,0.10004168,0.17585279,0.16461687,0.05633398
101,EGY,2017,1.0,0.012527546,0.8873131,0.012519066,0.012518746,0.012520143,0.012517827,0.012519599,0.012523296,0.01252125,0.012519379
102,EGY,2018,1.0,0.06662909,0.15488024,0.057000697,0.10374885,0.1440384,0.066649236,0.105166465,0.12498623,0.106046334,0.070854455
103,EGY,2019,1.0,0.052843384,0.26928434,0.05143403,0.0962607,0.07222845,0.048490178,0.075755976,0.10264478,0.090643525,0.14041466
104,EGY,2020,1.0,0.0903235,0.12658136,0.06462852,0.11209748,0.08390303,0.084774755,0.0733961,0.14925592,0.1244079,0.090631455
105,EGY,2021,1.0,0.07636263,0.1348853,0.06751095,0.110094726,0.08591095,0.07803206,0.0994894,0.104572065,0.14146276,0.101679176
106,EGY,2022,1.0,0.05727002,0.07744972,0.038296055,0.06153744,0.2102675,0.16752213,0.08620942,0.17151412,0.0781758,0.051757805
107,EGY,2023,1.0,0.091271296,0.12263112,0.043218073,0.08061553,0.11609846,0.14083335,0.089765966,0.10145915,0.12723438,0.086872675
108,ETH,2015,1.0,0.013416142,0.08685526,0.013415029,0.013415823,0.013415227,0.013415141,0.013415254,0.013414949,0.80582315,0.013414024
109,ETH,2017,1.0,0.019211147,0.08887404,0.019209994,0.019208483,0.019213442,0.11461775,0.019210234,0.305244,0.3563246,0.03888628
110,ETH,2018,1.0,0.09168056,0.07126194,0.07532138,0.15117465,0.084380426,0.06404088,0.11537538,0.16478467,0.114465594,0.06751454
111,ETH,2019,1.0,0.08204509,0.07685008,0.06291957,0.11629898,0.07869555,0.059968606,0.13320617,0.20850156,0.11441591,0.06709847
112,ETH,2020,1.0,0.08140465,0.06671303,0.070216306,0.12483521,0.0827299,0.05922958,0.12154671,0.209892,0.11700784,0.06642478
113,ETH,2021,1.0,0.077332154,0.05518597,0.06589396,0.17024237,0.06937261,0.07524585,0.11345533,0.1900188,0.12701653,0.05623642
114,ETH,2022,1.0,0.06748632,0.067917384,0.062510915,0.16686922,0.074078515,0.083620496,0.113055445,0.19399561,0.1031634,0.06730269
115,ETH,2023,1.0,0.07134391,0.06278593,0.057938777,0.105369024,0.07979061,0.06905263,0.11625241,0.26586372,0.10044792,0.07115505
116,FJI,2018,1.0,0.17378418,0.024087042,0.024086181,0.17403531,0.02408661,0.06482528,0.17407742,0.14291567,0.17402007,0.024082258
117,FJI,2019,1.0,0.01877695,0.14475569,0.018776508,0.14726382,0.11873509,0.018777195,0.111633755,0.11156684,0.19655415,0.11315999
118,FJI,2020,1.0,0.05399432,0.13363382,0.032987,0.07429324,0.11349212,0.01517165,0.13230968,0.09300013,0.30805466,0.04306339
119,FJI,2021,1.0,0.020839788,0.2894138,0.07265183,0.2254144,0.020839145,0.020837506,0.16752154,0.020837687,0.14080624,0.020838061
120,FJI,2022,1.0,0.14955877,0.19224049,0.01591117,0.08167772,0.12047687,0.015912436,0.022902338,0.18801728,0.14198731,0.07131562
