timeOpen,timeClose,timeHigh,timeLow,open,high,low,close,volume,marketCap,timestamp
2023-10-12T00:00:00.000Z,2023-10-12T23:59:59.999Z,2023-10-12T08:50:00.000Z,2023-10-12T18:15:00.000Z,0.999748742,1.000567279,0.999477564,0.999707791,16234691731,83497626922,2023-10-12T23:59:59.999Z
2023-10-11T00:00:00.000Z,2023-10-11T23:59:59.999Z,2023-10-11T09:58:00.000Z,2023-10-11T19:49:00.000Z,1.000064921,1.000661128,0.999569047,0.999752053,19945698427,83498301346,2023-10-11T23:59:59.999Z
2023-10-10T00:00:00.000Z,2023-10-10T23:59:59.999Z,2023-10-10T16:54:00.000Z,2023-10-10T09:58:00.000Z,1.000196302,1.000823617,0.999859071,1.000088306,17384784047,83502317447,2023-10-10T23:59:59.999Z
2023-10-09T00:00:00.000Z,2023-10-09T23:59:59.999Z,2023-10-09T16:42:00.000Z,2023-10-09T13:35:00.000Z,1.000455587,1.001181669,0.999878014,1.000080912,20684218429,83481196250,2023-10-09T23:59:59.999Z
2023-10-08T00:00:00.000Z,2023-10-08T23:59:59.999Z,2023-10-08T10:36:00.000Z,2023-10-08T01:45:00.000Z,1.000588442,1.000800177,1.00027074,1.000460155,12488411034,83512853315,2023-10-08T23:59:59.999Z
2023-10-07T00:00:00.000Z,2023-10-07T23:59:59.999Z,2023-10-07T18:13:00.000Z,2023-10-07T09:23:00.000Z,1.00043902,1.000775871,1.000271703,1.000549648,11006329208,83496810775,2023-10-07T23:59:59.999Z
2023-10-06T00:00:00.000Z,2023-10-06T23:59:59.999Z,2023-10-06T20:01:00.000Z,2023-10-06T12:56:00.000Z,1.000037205,1.000638089,0.999885054,1.000435743,19152176768,83403223968,2023-10-06T23:59:59.999Z
2023-10-05T00:00:00.000Z,2023-10-05T23:59:59.999Z,2023-10-05T15:07:00.000Z,2023-10-05T00:23:00.000Z,1.000286782,1.000645908,0.999906127,1.000088731,18816329985,83374294633,2023-10-05T23:59:59.999Z
2023-10-04T00:00:00.000Z,2023-10-04T23:59:59.999Z,2023-10-04T20:53:00.000Z,2023-10-04T09:37:00.000Z,1.000021662,1.000561465,0.999771477,1.000436558,21138935230,83401486689,2023-10-04T23:59:59.999Z
2023-10-03T00:00:00.000Z,2023-10-03T23:59:59.999Z,2023-10-03T00:14:00.000Z,2023-10-03T10:48:00.000Z,1.000262527,1.000508736,0.999741786,1.000091652,28992376862,83348500371,2023-10-03T23:59:59.999Z
2023-10-02T00:00:00.000Z,2023-10-02T23:59:59.999Z,2023-10-02T14:15:00.000Z,2023-10-02T00:19:00.000Z,1.000027317,1.001006219,0.999801897,1.000332515,33775951107,83284732156,2023-10-02T23:59:59.999Z
