ADMIN,ISO_A3,sentiment_score,tweets_proportion,gdp_pcap_2012_2022,cluster
Mexico,MEX,0.660203338,0.001106676,9979.882145,2
Marshall Islands,MHL,,,4807.48486,
Macedonia,MKD,0.632305156,,5762.911483,
Mali,MLI,0.675315757,0.001459979,810.0712034,2
Malta,MLT,0.686346147,,29132.06461,
Myanmar,MMR,0.691943173,0.00415733,1235.010578,1
Montenegro,MNE,0.694940701,,8072.760688,
Mongolia,MNG,0.630004001,0.00063396,4206.663558,2
Northern Mariana Islands,MNP,0.573592594,,21271.88042,
Mozambique,MOZ,0.636098528,0.000620339,534.0554217,2
Mauritania,MRT,0.626118895,0.002878789,1823.686376,2
Montserrat,MSR,0.741456786,,,
Mauritius,MUS,0.666647235,,10177.74732,
Malawi,MWI,0.643538796,0.000436113,555.7457924,2
Malaysia,MYS,0.67337748,0.000585239,10645.62928,2
Namibia,NAM,0.679494862,0.000976917,5093.738654,2
New Caledonia,NCL,0.685251175,0.002240582,35507.60178,3
Niger,NER,0.672015117,0.001029258,540.837765,2
Norfolk Island,NFK,0.7086635,,,
Nigeria,NGA,0.709273699,0.003811949,2372.856638,1
Nicaragua,NIC,0.645477529,0.000637561,2002.481429,2
Niue,NIU,0.452372,,,
Netherlands,NLD,0.663547976,0.001795791,51638.40569,3
Norway,NOR,0.671904508,0.003413151,84739.73199,3
Nepal,NPL,0.684101068,0.001252787,1047.997401,2
Nauru,NRU,0.762153659,,9833.934659,
New Zealand,NZL,0.684091067,0.002125726,43518.90407,3
Oman,OMN,0.681330964,0.0004066,20064.09723,2
Pakistan,PAK,0.698032489,0.002564137,1410.023488,1
Panama,PAN,0.673427385,0.001105478,14677.84562,3
Pitcairn Islands,PCN,0.796947,,,
Peru,PER,0.654522118,0.001075777,6602.521208,2
Spratly Islands,-99,0.685189863,,,
Philippines,PHL,0.694407466,0.001225817,3166.537373,1
Palau,PLW,0.692435474,,14681.19295,
Papua New Guinea,PNG,0.62128493,0.000777711,2593.963335,2
Poland,POL,0.665480292,0.001732614,14983.7112,3
Puerto Rico,PRI,0.676922104,,31276.3593,
North Korea,PRK,0.665399698,0.000747753,,
Portugal,PRT,0.657369122,0.001235656,22249.81734,3
Paraguay,PRY,0.634663694,0.000580018,6033.836528,2
Palestine,PSE,0.674806329,,3500.826024,
French Polynesia,PYF,0.693662775,,19842.16693,
Qatar,QAT,0.651655838,,71190.86051,
Romania,ROU,0.688760893,0.008062495,11795.69739,1
Russia,RUS,0.67803849,0.001074961,11976.48262,3
Rwanda,RWA,0.670921458,0.002787867,778.4797344,1
Western Sahara,ESH,0.651010955,,,
Saudi Arabia,SAU,0.626245548,,23166.78746,
Scarborough Reef,-99,0.685189863,,,
Sudan,SDN,0.648498682,0.000403248,1591.810114,2
South Sudan,SSD,0.605714283,0.001690252,1325.355954,2
Senegal,SEN,0.639315979,0.000774801,1439.43802,2
Serranilla Bank,-99,0.685189863,,,
Singapore,SGP,0.662528251,,64293.71103,
South Georgia and South Sandwich Islands,SGS,0.717617,,,
Saint Helena,SHN,0.797051,0.000461894,,
Solomon Islands,SLB,0.664014943,0.006903118,2256.593178,1
Sierra Leone,SLE,0.695473458,0.002095838,547.5660182,1
El Salvador,SLV,0.636684076,0.003466293,4099.106571,3
San Marino,SMR,0.684305195,,47465.62172,
Somaliland,-99,0.685189863,,,
Somalia,SOM,0.634402898,0.000634693,399.6566989,2
Saint Pierre and Miquelon,SPM,0.623651333,,,
Republic of Serbia,SRB,0.678398065,,7202.907631,
Sao Tome and Principe,STP,0.70976425,,1923.967193,
Suriname,SUR,0.702282314,0.002586312,6799.467443,1
Slovakia,SVK,0.658827691,0.003269178,18899.60935,3
Slovenia,SVN,0.666477085,0.006321449,25026.68774,3
Sweden,SWE,0.701168954,0.002176876,55483.22893,3
Swaziland,SWZ,0.670508989,0.000530004,3802.231365,2
Sint Maarten,SXM,0.658831377,,31617.05207,
Seychelles,SYC,0.770135635,,15030.15513,
Syria,SYR,0.745442055,0.002853968,902.8420874,1
Turks and Caicos Islands,TCA,0.671894648,,24851.55805,
Chad,TCD,0.649889065,0.000496725,759.5313675,2
Togo,TGO,0.69411969,0.003686171,852.0911491,1
Thailand,THA,0.682524191,0.001392266,6558.817948,3
Tajikistan,TJK,0.612619728,0.002640691,931.1774541,2
Turkmenistan,TKM,0.656158322,,6832.547424,
East Timor,TLS,0.744932326,,1596.045219,
Tonga,TON,0.7464832,,4373.085788,
Trinidad and Tobago,TTO,0.79200371,,17060.65045,
Tunisia,TUN,0.638598818,0.00177381,3817.032812,2
Turkey,TUR,0.616651495,0.001984609,10392.0539,3
Tuvalu,TUV,,,4323.71346,
Taiwan,TWN,0.688300948,0.002728439,,
United Republic of Tanzania,TZA,0.668799227,,1032.135144,
Uganda,UGA,0.653930483,0.001358742,841.2033792,2
Ukraine,UKR,0.706998169,0.004057407,3411.468799,1
United States Minor Outlying Islands,UMI,0.877131,,,
Uruguay,URY,0.66533316,0.000514202,18055.05098,2
United States of America,USA,0.659028937,0.001618609,62104.26087,3
US Naval Base Guantanamo Bay,-99,0.685189863,,,
Uzbekistan,UZB,0.698083832,0.005649049,2183.093518,1
Vatican,VAT,0.613491167,,,
Saint Vincent and the Grenadines,VCT,0.677454773,,8026.80664,
Venezuela,VEN,0.692022419,0.001906362,14204.85509,3
British Virgin Islands,VGB,0.707717407,,,
United States Virgin Islands,VIR,0.69632142,,35892.85007,
Vietnam,VNM,0.721834888,0.010554587,3153.89693,1
Vanuatu,VUT,0.606814333,0.001954745,2929.798277,2
Wallis and Futuna,WLF,0.806651,0.00228833,,
Akrotiri Sovereign Base Area,-99,0.685189863,,,
Samoa,WSM,0.707414217,0.00121276,4049.518403,1
Yemen,YEM,0.662362982,0.000338973,976.7342553,2
South Africa,ZAF,0.66770517,0.000879227,6639.129995,2
Zambia,ZMB,0.639438015,0.000572593,1394.388639,2
Zimbabwe,ZWE,0.674519771,0.000771157,1494.42848,2
