,ADMIN,date,tweets_num,score
126,Angola,2021-06-30,1,0.961591
127,Angola,2021-07-31,1,0.627716
128,Angola,2021-08-31,1,0.027098
129,Angola,2021-09-30,1,0.895699
130,Angola,2021-10-31,6,0.568551
131,Angola,2021-11-30,2,0.626001
132,Angola,2022-03-31,1,0.79379
133,Angola,2022-05-31,1,0.658963
134,Angola,2022-06-30,3,0.48735799999999996
135,Angola,2022-09-30,1,0.890143
136,Angola,2022-10-31,1,0.836751
137,Antarctica,2019-01-31,1,0.918235
138,Antigua and Barbuda,2021-03-31,1,0.685856
139,Argentina,2013-09-30,1,0.658667
140,Argentina,2013-12-31,3,0.7260179999999999
141,Argentina,2014-01-31,4,0.421391
142,Argentina,2014-03-31,1,0.636625
143,Argentina,2014-04-30,2,0.9015635
144,Argentina,2014-10-31,6,0.6761511666666666
145,Argentina,2014-11-30,3,0.75018
146,Argentina,2014-12-31,3,0.68528
147,Argentina,2015-01-31,2,0.459206
148,Argentina,2015-02-28,13,0.7821910769230769
149,Argentina,2015-03-31,2,0.7820925
150,Argentina,2015-04-30,7,0.7394695714285715
151,Argentina,2015-05-31,3,0.6177146666666666
152,Argentina,2015-06-30,1,0.651712
153,Argentina,2015-07-31,1,0.941804
154,Argentina,2015-08-31,1,0.612942
155,Argentina,2015-09-30,3,0.649091
156,Argentina,2016-01-31,1,0.46861
157,Argentina,2016-04-30,1,0.720999
158,Argentina,2016-06-30,2,0.7643154999999999
159,Argentina,2016-07-31,2,0.5299400000000001
160,Argentina,2016-11-30,3,0.46998333333333336
161,Argentina,2016-12-31,1,0.613329
162,Argentina,2017-01-31,2,0.5281785
163,Argentina,2017-03-31,1,0.893497
164,Argentina,2017-04-30,9,0.6918487777777778
165,Argentina,2017-06-30,2,0.8225945
166,Argentina,2017-07-31,2,0.5793085
167,Argentina,2017-08-31,1,0.528178
168,Argentina,2017-10-31,1,0.726874
169,Argentina,2017-11-30,1,0.581891
170,Argentina,2017-12-31,1,0.585319
171,Argentina,2018-01-31,2,0.5434775000000001
172,Argentina,2018-02-28,2,0.754006
173,Argentina,2018-03-31,1,0.888721
174,Argentina,2018-04-30,2,0.8211325
175,Argentina,2018-05-31,1,0.416323
176,Argentina,2018-06-30,1,0.928963
177,Argentina,2018-07-31,14,0.6620661428571429
178,Argentina,2018-08-31,16,0.67255575
179,Argentina,2018-09-30,16,0.5889068125
180,Argentina,2018-10-31,2,0.848473
181,Argentina,2018-11-30,3,0.7656346666666667
182,Argentina,2018-12-31,9,0.6473960000000001
183,Argentina,2019-01-31,12,0.7257200833333334
